2022-07-01 18:17:08,718 INFO    SenderThread:34136 [sender.py:send_request_log_artifact():1006] logged artifact source-2armbnzn - {'id': 'QXJ0aWZhY3Q6MTUxNTYzNzkw', 'digest': '04675ba8a1b6544a7f58c4838b49ce07', 'state': 'COMMITTED', 'aliases': [{'artifactCollectionName': 'source-2armbnzn', 'alias': 'latest'}, {'artifactCollectionName': 'source-2armbnzn', 'alias': 'v0'}], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjIzNDkxMzA0', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTUxNTYzNzkw', 'versionIndex': 0}}, 'version': 'v0'}
2022-07-01 18:17:08,718 DEBUG   SenderThread:34136 [sender.py:send():235] send: stats
2022-07-01 18:17:21,315 INFO    Thread-11 :34136 [dir_watcher.py:_on_file_modified():269] file/dir modified: C:\Users\marce\OneDrive - Escuela Superior Politécnica del Litoral\GitHub Repositories\ml-devops-engineering\reproducible-model-workflow\exercise_4\wandb\run-20220701_181648-2armbnzn\files\config.yaml
2022-07-01 18:17:23,037 DEBUG   HandlerThread:34136 [handler.py:handle_request():141] handle_request: stop_status
2022-07-01 18:17:23,038 DEBUG   SenderThread:34136 [sender.py:send_request():249] send_request: stop_status
2022-07-01 18:17:38,359 DEBUG   HandlerThread:34136 [handler.py:handle_request():141] handle_request: stop_status
2022-07-01 18:17:38,359 DEBUG   SenderThread:34136 [sender.py:send_request():249] send_request: stop_status
2022-07-01 18:17:53,696 DEBUG   HandlerThread:34136 [handler.py:handle_request():141] handle_request: stop_status
2022-07-01 18:17:53,696 DEBUG   SenderThread:34136 [sender.py:send_request():249] send_request: stop_status
2022-07-01 18:18:06,956 DEBUG   HandlerThread:34136 [handler.py:handle_request():141] handle_request: resume
2022-07-01 18:18:06,957 INFO    HandlerThread:34136 [handler.py:handle_request_resume():686] starting system metrics thread
2022-07-01 18:18:07,807 DEBUG   HandlerThread:34136 [handler.py:handle_request():141] handle_request: log_artifact
2022-07-01 18:18:07,808 DEBUG   SenderThread:34136 [sender.py:send_request():249] send_request: log_artifact
